antwann_jones,unc_greensboro,sc,6,86,747,189,375,3835,75,181,64,258,1,2,05,3,10,03,21,61,0333,22,23,125,sr,6-6,0,-0673247,7331,41,2026,65925,"orlando,_fl",790,050005835,24,5,11,51,04000,02000,01,02,unnamed:_44,unnamed:_45,115978,115364,0671435,109915,-836032,-674231,-161801,-899655,114857,-535942,-363713,05714,15714,21429,04286,02857,01429,34286,wing_f,580649,1999-05-29
Tegra Izay,Southern Miss,SB,18,25.9,122.1,13.0,57.1,60.19,7.0,18.0,4.8,9.3,20,32,0.625,16,28,0.571,0,0,0.0,8.4,0.3,114.3,Sr,7-0,22,0.541104,108.493,5.9,2026,72357,"Montreal, Canada",20.8,0.75000002,12.0,17.0,4.0,11.0,0.7059,0.3636,5.0,6.0,0.8333,,106.891,108.771,0.959826,34.4079,0.0442547,-2.29817,2.34242,-0.0792672,11.4,-1.29076,1.21149,0.95,1.85,2.8,0.3,0.1,0.85,3.3,C,0.0,2001-10-15
Latrell Wrightsell Jr.,Alabama,SEC,10,35.3,103.5,20.2,41.8,44.2,0.0,9.6,13.8,6.1,11,13,0.846,17,38,0.447,21,78,0.269,0.4,1.9,11.2,Sr,6-3,3,1.47432,110.153,3.0,2026,72358,"Omaha, NE",,3.6666666,9.0,18.0,8.0,20.0,0.5,0.4,0.0,0.0,,,111.743,102.363,2.92095,41.7675,1.69702,2.53221,-0.83519,0.37849,25.44,0.712277,-0.333787,0.0,2.7,2.7,2.2,0.9,0.1,10.8,Combo G,16.1088,2001-10-15
Isaiah Cottrell,Southern Utah,WAC,16,62.0,95.5,19.0,44.6,47.81,4.6,21.4,10.4,14.6,25,38,0.658,49,92,0.533,3,28,0.107,4.3,1.1,31.7,Sr,6-11,0,0.0954159,94.5598,2.2,2026,72399,"Las Vegas, NV",85.2,1.19044604,42.0,64.0,7.0,28.0,0.6563,0.25,16.0,19.0,0.8421,,112.377,111.866,2.0312,78.8828,-1.96179,-3.18547,1.22368,-1.31298,23.5947,-1.42781,0.114835,1.2105,4.7368,5.9474,1.3158,0.4737,1.2632,8.4211,PF/C,3.89233,2001-10-15
Nijel Pack,Oklahoma,SEC,19,72.8,121.0,22.8,57.3,58.81,2.6,10.0,19.8,14.0,21,25,0.84,48,94,0.511,57,139,0.41,1.4,1.3,10.7,Sr,5-10,9,3.38203,126.909,3.3,2026,72421,"Indianapolis, IN",78.4,1.90322377,16.0,24.0,32.0,70.0,0.6667,0.4571,0.0,0.0,,,111.476,109.634,2.60981,83.997,2.50958,4.01095,-1.50138,4.84527,29.1316,5.57288,-0.727606,0.6842,2.7368,3.4211,3.1053,0.6842,0.3684,15.1579,Combo G,14.2998,2001-05-22
Andre Henry,UC Irvine,BW,15,43.6,109.8,16.6,48.9,53.23,1.9,10.7,8.7,9.2,18,20,0.9,22,47,0.468,15,44,0.341,0.3,1.3,22.0,Sr,6-4,4,0.786395,104.931,2.9,2026,72423,"La Canada Flintridge, CA",49.0,1.62516411,6.0,10.0,16.0,37.0,0.6,0.4324,0.0,0.0,,,101.785,102.687,2.2446,48.2932,-0.598066,-0.279532,-0.318535,-0.342464,19.9067,-0.638255,0.29579,0.3333,2.1333,2.4667,0.8667,0.4667,0.0667,7.1333,Wing G,8.42845,2001-10-15
Josh Taylor,East Texas A&M,Slnd,18,39.2,87.7,19.9,46.8,48.19,10.3,12.7,9.8,24.3,10,17,0.588,30,62,0.484,4,15,0.267,3.5,1.2,22.1,Sr,6-8,10,-0.259959,88.6751,3.5,2026,72433,"Atlanta, GA",,0.62499998,26.0,44.0,4.0,18.0,0.5909,0.2222,5.0,6.0,0.8333,,111.837,112.59,1.24415,46.8718,-3.7828,-4.50509,0.722289,-5.18169,15.87,-3.52832,-1.65337,1.45,2.1,3.55,0.75,0.3,0.55,4.85,PF/C,3.02958,2001-11-11
Chad Baker-Mazara,USC,B10,17,75.3,116.0,27.4,52.2,59.97,2.3,13.3,20.8,16.1,92,101,0.911,61,118,0.517,37,105,0.352,5.2,1.4,45.3,Sr,6-7,4,3.96554,131.372,3.4,2026,72450,"Santo Domingo, Dominican Republic",,1.34882158,26.0,41.0,35.0,77.0,0.6341,0.4545,6.0,7.0,0.8571,,104.102,100.352,3.67059,97.9686,6.2097,3.85616,2.35353,7.79892,30.5889,6.16756,1.63136,0.6667,3.8333,4.5,3.2222,0.7778,1.3889,18.8889,Stretch 4,11.0253,2000-01-27
Dante Harris,Tennessee St.,OVC,15,81.7,99.8,20.1,43.2,47.28,1.5,10.2,24.0,16.7,39,60,0.65,54,127,0.425,6,19,0.316,0.0,3.5,41.1,Sr,6-0,10,0.517374,98.0141,2.6,2026,72478,"Washington, DC",19.0,2.16665006,29.0,53.0,25.0,74.0,0.5472,0.3378,0.0,0.0,,,108.441,113.385,2.50243,86.9394,-3.08784,-1.57238,-1.51546,-2.50942,31.5611,-1.84611,-0.663313,0.6111,3.1111,3.7222,4.3333,2.0,0.0,11.2222,Scoring PG,2.12527,2001-10-15
Jay Rodgers,Central Connecticut,NEC,15,75.3,112.3,25.9,48.6,53.7,0.3,9.3,51.0,18.9,39,48,0.813,36,87,0.414,22,55,0.4,0.2,0.7,33.8,Sr,6-3,1,2.53093,117.66,1.8,2026,72501,"Pickerington, OH",,3.25007433,13.0,32.0,23.0,55.0,0.4063,0.4182,0.0,0.0,,,117.653,124.123,1.18444,56.1251,-3.86374,2.42818,-6.29193,-1.63935,28.8706,3.00623,-4.64558,0.1176,2.3529,2.4706,7.6471,0.3529,0.0588,11.7059,Pure PG,7.28033,2001-10-15
Jalen Speer,Marshall,SB,18,78.7,107.1,27.3,46.8,50.31,0.6,12.1,34.2,16.9,41,49,0.837,42,110,0.382,51,143,0.357,0.4,1.4,19.4,Sr,6-1,50,2.36917,115.119,2.8,2026,72504,"Gainesville, FL",,2.25000986,13.0,26.0,29.0,84.0,0.5,0.3452,0.0,0.0,,,110.633,111.367,2.63135,92.3529,-1.6237,1.31885,-2.94255,0.18384,31.0526,2.30269,-2.11885,0.1579,3.8421,4.0,5.6842,0.7368,0.1579,15.0526,Scoring PG,14.3177,2001-10-15
