rk,team,conf,rec,adjoe,oe_rank,adjde,de_rank,barthag,rank1,proj_w,proj_l,pro_con_w,pro_con_l,con_rec,sos,ncsos,consos,proj_sos,proj_noncon_sos,proj_con_sos,elite_sos,elite_noncon_sos,opp_oe,opp_de,opp_proj_oe,opp_proj_de,con_adj_oe,con_adj_de,qual_o,qual_d,qual_barthag,qual_games,fun,conpf,conpa,conposs,conoe,conde,consosremain,conf_winpct,wab,wab_rk,fun_rk,adjt,team_key
300,UNC Greensboro,SC,12-17,108.99291541571984,178,121.20824023712296,350,0.2276528005026744,300,12.567914412209914,18.432085587790088,8.567914412209914,9.432085587790088,8-8,0.3573281830828302,0.4116096292556898,0.3132245080673819,0.3575898051145042,0.4116096292556898,0.3185754876792035,0.908011099012239,0.8668835551996115,108.4413168535224,113.90656396489469,108.4459985346136,113.92029283272116,109.84244413544003,122.866014023574,107.92931419012864,119.37944229153136,0.2387489333008997,1.0,-0.0105639198244557,1257.0,1318.0,1092.4499999999998,1.1506247425511469,1.206462538331274,0.3613833245737766,0.5,-13.27212721158722,303,205,67.12445341673984,unc greensboro
301,Le Moyne,NEC,14-15,101.8853480028437,310,113.31038372481706,255,0.2275406108523179,301,15.20443140207752,15.79556859792248,10.20443140207752,7.795568597922479,9-7,0.2903837174386894,0.4073582685111962,0.1953418946922775,0.2821316846372819,0.4073582685111962,0.1916902629505659,0.9242664826425498,0.8616435953759669,104.23758143388704,113.59862301729238,103.93801387003673,113.72834661103454,98.463636880698,110.0946149197969,81.45923962973545,103.30813928267554,0.0610795253570928,1.0,0.0018259734139094,1150.0,1109.0,1101.7625,1.0437821218275265,1.006569020092806,0.1624772090168732,0.5625,-11.800610497529206,279,178,69.31064951438319,le moyne
302,Central Connecticut,NEC,16-11,106.50071982971332,236,118.45852303331898,324,0.2272810407875791,302,17.42494073122782,11.575059268772176,11.424940731227824,6.575059268772177,10-6,0.2647867846269691,0.3622623039899943,0.1977723650648893,0.2564078573706113,0.3622623039899943,0.1917190288809883,0.9384893627180666,0.8877637456663156,103.08571708420666,113.14576057230202,102.87224469650276,113.52826688109482,108.01072650558334,119.3127366901778,112.21596648713292,122.55787350482068,0.266233368714667,1.0,0.0887968559328112,1135.0,1128.0,1020.8,1.1118730407523512,1.1050156739811914,0.1432923394097798,0.625,-8.47739338317246,209,21,64.69653286280497,central connecticut
303,Texas Southern,SWAC,10-16,103.86215542963504,272,115.80297079734092,296,0.2224415026587506,303,12.247417351164492,16.75258264883551,10.247417351164492,7.752582648835506,8-7,0.3676152056209569,0.5626825802835733,0.2245657975350381,0.3414551017267718,0.5626825802835733,0.2062605314976152,0.8560205928675567,0.6770921965030516,106.74352851420711,110.63205716322824,106.01616375882143,111.64773974455868,103.6860785076742,114.65326764442388,100.65680999393524,118.70578266737654,0.1304814176043918,5.0,-0.0473779647042212,1155.0,1105.0,1055.375,1.0943977259268032,1.047021200994907,0.114734201310501,0.5333333333333333,-10.95190644564398,256,287,68.59624297136573,texas southern
304,NJIT,AE,15-14,101.136745985315,320,112.7708703730336,246,0.2223243402618288,304,16.141030473173394,14.858969526826607,11.141030473173393,4.8589695268266055,10-4,0.3302992139594649,0.467557508761347,0.1832367552431626,0.3218526026190711,0.467557508761347,0.1852542531106874,0.8895257372524735,0.804051750402379,104.93236829416738,112.574616000073,104.70477093418182,112.81343037043408,104.51922440439756,113.0803148996653,89.30999975113275,121.43760531718095,0.0283656116745141,3.0,0.0603105467406709,1029.0,965.0,929.9125,1.1065557243289017,1.0377320446816232,0.1993767381833606,0.7142857142857143,-9.593249181694183,233,54,67.87481854666763,njit
305,Lehigh,Pat,12-16,101.8610497688707,311,113.64413830786182,258,0.2211776121652966,305,13.512122689346848,17.487877310653154,9.512122689346848,8.487877310653152,8-7,0.326740885939135,0.4052952138097513,0.2586604684512674,0.3204081791960757,0.4052952138097513,0.2591008764195323,0.9056605318758784,0.8402306138833086,106.14040631246624,112.70491590991855,106.04859787672244,113.08513417060396,101.749394515827,112.2529045307561,85.53540942467379,103.78164633690214,0.0976489198091742,2.0,-0.018660227028407,1120.0,1136.0,1054.125,1.0624925886398673,1.0776710541918653,0.2613029162608563,0.5333333333333333,-12.32314633392216,290,221,66.90053780555544,lehigh
306,Jacksonville,ASun,10-19,102.46908559474431,296,114.3969938189328,273,0.2198900891951639,306,11.118707319305916,19.881292680694084,6.118707319305917,11.881292680694084,5-11,0.3966573938307965,0.474860600997219,0.3331172880080781,0.3828570253647113,0.474860600997219,0.3164099985190112,0.8787037850606286,0.7983400627246328,109.32234149979216,112.64257770790388,109.14773959058958,113.27959669440244,102.28451029522402,111.87360911936098,103.95925674737435,118.220488203896,0.18567643971975,3.0,-0.0335369818932505,1098.0,1137.0,1021.725,1.0746531600968952,1.1128239007560743,0.1827516826064758,0.3125,-14.01607999569978,320,255,62.96318485545643,jacksonville
307,Loyola Chicago,A10,6-22,103.66411976583518,278,115.73414661921473,295,0.2198387746259573,307,6.4870539635624445,24.512946036437555,2.4870539635624445,15.512946036437556,2-13,0.5494801250581804,0.4341115237639984,0.6494662461798051,0.562843451239051,0.4341115237639984,0.6558165099710336,0.81652416042191,0.8774893593535444,110.14681766921474,108.09501266728569,110.83770844382542,107.98535945298964,101.40280628476516,110.77631475301013,115.27577662285314,106.40850989351416,0.7151399508276465,3.0,-0.0375866093508954,966.0,1164.0,1014.5875,0.9521110796259564,1.147264282282208,0.6875678289271759,0.1333333333333333,-15.459496600014456,339,265,66.18067809179435,loyola chicago
308,Alabama A&M,SWAC,16-12,103.45544035932356,281,115.53284604677005,294,0.2192984062839785,308,17.76193325678353,13.238066743216471,10.761933256783529,7.2380667432164705,9-6,0.2807767301817976,0.344444484386227,0.225598009871292,0.2741968848668168,0.344444484386227,0.2234625074361317,0.9202097909763038,0.8611327744990442,104.0008673269445,112.80463949169688,103.61640678013566,112.79082336419503,104.62579831039474,115.66748899594288,85.84948737752927,121.06694676690684,0.0188335431104792,2.0,0.0592732846067305,1104.0,1084.0,1013.1375,1.0896842728652332,1.0699436157481093,0.2127849952603301,0.6,-8.814042552936552,220,57,65.17131790930219,alabama am
309,Bellarmine,ASun,11-17,114.7006283629412,92,128.1506317512664,365,0.2183803247785783,309,11.804005842548063,18.19599415745193,6.804005842548064,11.195994157451937,6-10,0.3694068547102233,0.4259378045341049,0.3270086423423121,0.3663604500312072,0.4259378045341049,0.3266422136959421,0.8899557307869126,0.8217297038299113,109.24851225213598,113.75380475137877,108.9442621343109,113.71165943292397,115.08188028625776,129.67007608347313,119.46375947354298,124.41071931932224,0.3854175493347608,2.0,-0.0143678954554194,1287.0,1331.0,1054.0625,1.220990216424548,1.2627334716869256,0.3237107845249826,0.375,-12.68452300715333,294,212,64.06965758013321,bellarmine
